date,avg_temperature
2022-01-01,7.245833333333334
2022-01-02,6.966666666666666
2022-01-03,8.720833333333333
2022-01-04,8.516666666666667
2022-01-05,1.8
2022-01-06,0.22083333333333333
2022-01-07,-0.7875
2022-01-08,-0.3833333333333333
2022-01-09,0.8833333333333333
2022-01-10,0.05000000000000001
2022-01-11,-0.4791666666666667
2022-01-12,-1.4291666666666665
2022-01-13,-0.8333333333333334
2022-01-14,0.7708333333333334
2022-01-15,0.32916666666666666
2022-01-16,1.0541666666666667
2022-01-17,2.0416666666666665
2022-01-18,1.05
2022-01-19,1.4958333333333333
2022-01-20,0.6416666666666667
2022-01-21,-1.7291666666666667
2022-01-22,0.15833333333333333
2022-01-23,0.8083333333333332
2022-01-24,0.15416666666666667
2022-01-25,0.5041666666666667
2022-01-26,-0.5291666666666667
2022-01-27,0.8875000000000001
2022-01-28,1.1875
2022-01-29,2.3666666666666667
2022-01-30,3.4916666666666667
2022-01-31,1.0125
2022-02-01,0.6958333333333333
2022-02-02,3.0749999999999997
2022-02-03,4.670833333333333
2022-02-04,3.283333333333333
2022-02-05,2.5
2022-02-06,3.8166666666666664
2022-02-07,1.4375
2022-02-08,3.0083333333333333
2022-02-09,3.483333333333334
2022-02-10,4.216666666666667
2022-02-11,2.3125
2022-02-12,0.016666666666666607
2022-02-13,1.4541666666666666
2022-02-14,2.975
2022-02-15,2.5875
2022-02-16,4.495833333333334
2022-02-17,9.004166666666666
2022-02-18,9.133333333333333
2022-02-19,4.333333333333333
2022-02-20,6.008333333333333
2022-02-21,4.820833333333334
2022-02-22,3.8625000000000003
2022-02-23,5.579166666666667
2022-02-24,5.5375000000000005
2022-02-25,2.3916666666666666
2022-02-26,0.8125
2022-02-27,0.16666666666666666
2022-02-28,0.08333333333333333
2022-03-01,-0.05000000000000004
2022-03-02,1.1583333333333332
2022-03-03,1.6125
2022-03-04,-0.5
2022-03-05,-0.7374999999999999
2022-03-06,-0.9333333333333332
2022-03-07,-1.3041666666666665
2022-03-08,-0.2958333333333332
2022-03-09,1.8958333333333333
2022-03-10,2.8208333333333333
2022-03-11,2.2833333333333337
2022-03-12,2.725
2022-03-13,3.8041666666666667
2022-03-14,6.2250000000000005
2022-03-15,6.591666666666666
2022-03-16,6.658333333333334
2022-03-17,6.529166666666666
2022-03-18,6.283333333333334
2022-03-19,4.620833333333334
2022-03-20,5.8
2022-03-21,5.320833333333334
2022-03-22,6.0375000000000005
2022-03-23,7.4875
2022-03-24,8.391666666666667
2022-03-25,8.470833333333333
2022-03-26,8.012500000000001
2022-03-27,9.004166666666666
2022-03-28,9.529166666666667
2022-03-29,9.479166666666666
2022-03-30,8.4
2022-03-31,6.704166666666667
2022-04-01,3.3625000000000003
2022-04-02,-0.20833333333333334
2022-04-03,-0.6083333333333333
2022-04-04,1.508333333333333
2022-04-05,5.375
2022-04-06,9.395833333333334
2022-04-07,10.512500000000001
2022-04-08,8.054166666666667
2022-04-09,4.6125
2022-04-10,3.4791666666666665
2022-04-11,5.458333333333333
2022-04-12,9.491666666666667
2022-04-13,12.591666666666667
2022-04-14,13.291666666666666
2022-04-15,11.608333333333334
2022-04-16,7.0249999999999995
2022-04-17,5.454166666666667
2022-04-18,6.5125
2022-04-19,7.458333333333333
2022-04-20,6.358333333333333
2022-04-21,7.929166666666667
2022-04-22,9.279166666666667
2022-04-23,10.2875
2022-04-24,9.1625
2022-04-25,9.833333333333334
2022-04-26,7.820833333333333
2022-04-27,7.933333333333334
2022-04-28,9.154166666666667
2022-04-29,10.575000000000001
2022-04-30,9.354166666666666
2022-05-01,9.525
2022-05-02,10.383333333333333
2022-05-03,11.991666666666667
2022-05-04,11.958333333333334
2022-05-05,12.625
2022-05-06,11.704166666666666
2022-05-07,11.483333333333334
2022-05-08,12.770833333333334
2022-05-09,13.854166666666666
2022-05-10,15.370833333333332
2022-05-11,18.316666666666666
2022-05-12,18.650000000000002
2022-05-13,15.883333333333333
2022-05-14,16.3125
2022-05-15,17.179166666666667
2022-05-16,15.887500000000001
2022-05-17,16.679166666666667
2022-05-18,16.925
2022-05-19,18.933333333333334
2022-05-20,22.004166666666666
2022-05-21,16.85
2022-05-22,16.470833333333335
2022-05-23,17.825
2022-05-24,14.9375
2022-05-25,13.866666666666667
2022-05-26,14.845833333333333
2022-05-27,14.720833333333333
2022-05-28,11.895833333333334
2022-05-29,9.891666666666667
2022-05-30,10.941666666666668
2022-05-31,13.299999999999999
2022-06-01,15.012500000000001
2022-06-02,15.504166666666668
2022-06-03,18.458333333333332
2022-06-04,18.933333333333334
2022-06-05,18.470833333333335
2022-06-06,18.1125
